llavehog,llaveviv,p2_4_01,p2_4_02,p2_4_03,p2_4_04,p2_4_05,p2_4_05a,p2_4_06,p2_4_07,p2_4_08,p2_4_09,p2_4_10,p2_4_11,p2_4_12,p2_4_13,p2_4_14,p3_14_1,p3_15_1,p3_16_1,p3_17_1,p3_19_1,p3_14_2,p3_15_2,p3_16_2,p3_17_2,p3_18_2,p3_19_2,p3_14_3,p3_15_3,p3_16_3,p3_17_3,p3_18_3,p3_19_3,p3_20_1,p3_20a_1,p3_20_2,p3_20a_2,p3_20_3,p3_20a_3,p3_20_4,p3_20a_4,p3_20_5,p3_20a_5,p3_20_6,p3_20a_6,p3_20_7,p3_20a_7,p3_20_8,p3_20a_8,cvegeo,cve_ent,tloc,menor10,est_dis,upm_dis,fac_hog,control,viv_sel,hogar
0100094011,010009401,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0001,00001,509,0100094,01,1
0100094021,010009402,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,,,,,2,,,,,,2,,,,,,1,006000,2,,2,,2,,2,,1,004200,2,,2,,01,01,1,2,0001,00001,509,0100094,02,1
0100094031,010009403,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0001,00001,509,0100094,03,1
0100094041,010009404,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0001,00001,509,0100094,04,1
0100094051,010009405,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0001,00001,509,0100094,05,1
0100114021,010011402,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00002,581,0100114,02,1
0100114031,010011403,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00002,581,0100114,03,1
0100114041,010011404,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00002,581,0100114,04,1
0100114051,010011405,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00002,581,0100114,05,1
0100118011,010011801,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00003,509,0100118,01,1
0100118021,010011802,1,1,1,2,2,,,2,1,2,2,1,1,1,1,2,,,,,2,,,,,,2,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,01,01,1,2,0002,00003,509,0100118,02,1
