nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Llave de identificación del hogar,10,C,llavehog,,0100094011...3261231201
Llave de identificación de la vivienda,9,C,llaveviv,,010009401...326123120
Pregunta P2.4.01 ¿En este hogar tienen televisor?,1,C,p2_4_01,p2_4_01,"1,2"
Pregunta P2.4.02 ¿En este hogar tienen plancha eléctrica?,1,C,p2_4_02,p2_4_02,"1,2"
Pregunta P2.4.03 ¿En este hogar tienen licuadora?,1,C,p2_4_03,p2_4_03,"1,2"
Pregunta P2.4.04 ¿En este hogar tienen refrigerador?,1,C,p2_4_04,p2_4_04,"1,2"
Pregunta P2.4.05 ¿En este hogar tienen lavadora?,1,C,p2_4_05,p2_4_05,"1,2"
"Pregunta P2.4.05A ¿Es automática (se llena, lava, enjuaga y exprime sola)?",1,C,p2_4_05a,p2_4_05a,"1,2"
Pregunta P2.4.06 ¿En este hogar tienen secadora de ropa?,1,C,p2_4_06,p2_4_06,"1,2,9"
Pregunta P2.4.07 ¿En este hogar tienen horno de microondas?,1,C,p2_4_07,p2_4_07,"1,2"
Pregunta P2.4.08 ¿En este hogar tienen automóvil o camioneta?,1,C,p2_4_08,p2_4_08,"1,2"
Pregunta P2.4.09 ¿En este hogar tienen motocicleta o motoneta?,1,C,p2_4_09,p2_4_09,"1,2"
Pregunta P2.4.10 ¿En este hogar tienen bicicleta que se utilice como medio de transporte?,1,C,p2_4_10,p2_4_10,"1,2"
"Pregunta P2.4.11 ¿En este hogar tienen computadora, laptop o tablet?",1,C,p2_4_11,p2_4_11,"1,2"
Pregunta P2.4.12 ¿En este hogar tienen teléfono celular o smartphone?,1,C,p2_4_12,p2_4_12,"1,2"
Pregunta P2.4.13 ¿En este hogar tienen internet?,1,C,p2_4_13,p2_4_13,"1,2"
"Pregunta P2.4.14 ¿En este hogar tienen servicio de películas, música o videos de paga por internet (Netflix, claro video, hbo, spotify, etcétera)?",1,C,p2_4_14,p2_4_14,"1,2"
"Pregunta P3.14.1 En este hogar, ¿contratan personal para realizar trabajo doméstico (limpiar casa, planchar, cocinar)?",1,C,p3_14_1,p3_14_1,"1,2,9"
"Pregunta P3.15.1 La semana pasada ¿cuántos días asistió a trabajar el personal para realizar trabajo doméstico (limpiar casa, planchar, cocinar)?",1,C,p3_15_1,p3_15_1,1...9
"Pregunta P3.16.1 En total, ¿cuántas horas trabajó el personal para realizar trabajo doméstico (limpiar casa, planchar, cocinar), la semana pasada?",2,C,p3_16_1,p3_16_1,"00...97,99"
Pregunta P3.17.1 ¿Cuánto se pagó por el servicio que realizó este personal la semana pasada?,5,C,p3_17_1,p3_17_1,"00020...25000,98000,99999"
"Pregunta P3.19.1 Cuando el personal para realizar trabajo doméstico (limpiar casa, planchar, cocinar) no asiste, ¿quién es la persona del hogar encargada de realizar estas labores?",1,C,p3_19_1,p3_19_1,1...8
"Pregunta P3.14.2 En este hogar, ¿contratan personal de enfermería o para el cuidado o apoyo a personas mayores o con discapacidad?",1,C,p3_14_2,p3_14_2,"1,2,9"
Pregunta P3.15.2 La semana pasada ¿cuántos días asistió a trabajar el personal de enfermería o para el cuidado o apoyo a personas mayores o con discapacidad?,1,C,p3_15_2,p3_15_2,1...9
"Pregunta P3.16.2 En total, ¿cuántas horas trabajó el personal de enfermería o para el cuidado o apoyo a personas mayores o con discapacidad, la semana pasada?",2,C,p3_16_2,p3_16_2,"00...97,99"
Pregunta P3.17.2 ¿Cuánto se pagó por el servicio que realizó este personal la semana pasada?,5,C,p3_17_2,p3_17_2,"00060...13000,98000,99999"
Pregunta P3.18.2 ¿Esta(s) persona(s) es(son) enfermera(s) o enfermero(s)?,1,C,p3_18_2,p3_18_2,"1,2,9"
"Pregunta P3.19.2 Cuando el personal de enfermería o para el cuidado o apoyo a personas mayores o con discapacidad no asiste, ¿quién es la persona del hogar encargada de realizar estas labores?",1,C,p3_19_2,p3_19_2,1...8
"Pregunta P3.14.3 En este hogar, ¿contratan personal de enfermería o para el cuidado o atención a bebés, niñas y niños?",1,C,p3_14_3,p3_14_3,"1,2,9"
"Pregunta P3.15.3 La semana pasada ¿cuántos días asistió a trabajar el personal de enfermería o para el cuidado o atención a bebés, niñas y niños?",1,C,p3_15_3,p3_15_3,1...9
"Pregunta P3.16.3 En total, ¿cuántas horas trabajó el personal de enfermería o para el cuidado o atención a bebés, niñas y niños, la semana pasada?",2,C,p3_16_3,p3_16_3,"02...72,99"
Pregunta P3.17.3 ¿Cuánto se pagó por el servicio que realizó este personal la semana pasada?,5,C,p3_17_3,p3_17_3,"00150...07500,98000,99999"
Pregunta P3.18.3 ¿Esta(s) persona(s) es(son) enfermera(s) o enfermero(s)?,1,C,p3_18_3,p3_18_3,"1,2,9"
"Pregunta P3.19.3 Cuando el personal de enfermería o para el cuidado o atención a bebés, niñas y niños no asiste, ¿quién es la persona del hogar encargada de realizar estas labores?",1,C,p3_19_3,p3_19_3,1...8
"Pregunta P3.20.1 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero de programas de apoyos del gobierno (pensión para personas mayores, jóvenes construyendo el futuro, becas para estudiar, etcétera)?",1,C,p3_20_1,p3_20_1,"1,2,9"
Pregunta P3.20A.1 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_1,p3_20a_1,"000006...152000,999999"
"Pregunta P3.20.2 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por jubilación o pensión?",1,C,p3_20_2,p3_20_2,"1,2,9"
Pregunta P3.20A.2 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_2,p3_20a_2,"000001...840000,980000,999999"
"Pregunta P3.20.3 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero de familiares o amistades que viven o se fueron a trabajar a otro país?",1,C,p3_20_3,p3_20_3,"1,2,9"
Pregunta P3.20A.3 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_3,p3_20a_3,"000200...210000,999999"
"Pregunta P3.20.4 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero de familiares o amistades que viven en el país?",1,C,p3_20_4,p3_20_4,"1,2,9"
Pregunta P3.20A.4 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_4,p3_20a_4,"000100...216000,999999"
"Pregunta P3.20.5 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por el alquiler de algún bien (placas para taxi, automóvil, etcétera)?",1,C,p3_20_5,p3_20_5,"1,2,9"
Pregunta P3.20A.5 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_5,p3_20a_5,"000500...600000,999999"
"Pregunta P3.20.6 Durante los últimos tres meses, ¿las personas de este hogar recibieron dinero por la renta de alguna propiedad (casa, edificio, local, terreno, tierra de cultivo, etcétera)?",1,C,p3_20_6,p3_20_6,"1,2,9"
Pregunta P3.20A.6 ¿Cuánto recibieron en total? Declare en pesos,6,C,p3_20a_6,p3_20a_6,"000060...140000,980000,999999"
